Purchase Type Group,Purchased By,Sales Total Inc VAT,Sales Total EX VAT,VAT on VATQ Sale,Sale Type Group,Stock Number,Registration,Supplier Name,Customer PostCode,Sale Date,Purchase Price,Make,Model,Description,BodyStyle,Days In Stock,Sales Executive,Customer Name,Chassis Number,Date of Registration,Colour,Purchase Date,Mileage,Road Fund Licence Cost,CherishedFee,ReconCosts
Margin Scheme Vehicles,,3500.0,3500.0,0.0,Trade Sale Vehicles,S00102,REG00494,SUP00304,POST00331,02/05/2025 00:00,2750.0,Audi,A1,A1 1.6 TDI S line 3dr Manual Diesel ,Hatchback,57,EXEC00020,Customer00905,CHS00525,15/09/2014 00:00,Blue,06/03/2025 00:00,104886.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,41555.0,41555.0,0.0,Margin Scheme Vehicles,S00128,REG00945,SUP00336,POST00234,02/05/2025 00:00,38350.0,Alpine,A110,A110 1.8 Turbo 2dr Automatic Petrol ,Coupe,44,EXEC00005,Customer00342,CHS00373,26/07/2023 00:00,Alpine Blue,19/03/2025 00:00,13339.0,0.0,0,0.0
VAT Qualifying Vehicles,PUR00007,69116.67,69116.67,13823.33,VAT Qualifying Vehicles,S00140,REG00884,SUP00021,POST00254,02/05/2025 00:00,61666.67,Land Rover,Discovery,Discovery 3.0 D300 MHEV Dynamic HSE 5dr Automatic Diesel ,SUV,39,EXEC00022,Customer00085,CHS00233,27/03/2024 00:00,Black,24/03/2025 00:00,14956.0,0.0,0,0.0
Margin Scheme Vehicles,,19450.0,19450.0,0.0,Margin Scheme Vehicles,S00164,REG00303,SUP00667,POST00853,02/05/2025 00:00,16000.0,Tesla,Model 3,Model 3 0.0 Performance 4dr Automatic Electric ,Saloon,35,EXEC00013,Customer00783,CHS00016,18/12/2020 00:00,Red,28/03/2025 00:00,44594.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,36924.0,36924.0,0.0,Margin Scheme Vehicles,S00166,REG00998,SUP00871,POST00188,02/05/2025 00:00,33750.0,Volvo,XC90,XC90 2.0 h T8 Twin Engine R-Design Pro 5dr Automatic Petrol Plug-in Hybrid ,SUV,35,EXEC00009,Customer00847,CHS01115,29/10/2021 00:00,Savile Grey,28/03/2025 00:00,50805.0,0.0,0,0.0
Margin Scheme Vehicles,,53415.0,53415.0,0.0,Margin Scheme Vehicles,S00233,REG00801,SUP00587,POST00415,02/05/2025 00:00,47000.0,Porsche,718 Boxster,718 Boxster 2.5 T GTS 2dr Automatic Petrol ,Convertible,23,EXEC00005,Customer00315,CHS00835,10/04/2019 00:00,Silver,09/04/2025 00:00,15431.0,0.0,0,0.0
Margin Scheme Vehicles,,24100.0,24100.0,0.0,Margin Scheme Vehicles,S00242,REG01115,SUP00221,POST00126,02/05/2025 00:00,21000.0,Nissan,Navara,Navara 2.3 dCi Tekna 4dr Automatic Diesel ,Pickup,22,EXEC00005,Customer00531,CHS00385,30/09/2020 00:00,White,10/04/2025 00:00,31802.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,26250.0,26250.0,0.0,Margin Scheme Vehicles,S00292,REG00513,SUP00646,POST00544,02/05/2025 00:00,24500.0,MINI,Convertible,Convertible 2.0 John Cooper Works 2dr Automatic Petrol ,Convertible,10,EXEC00005,Customer00103,CHS00794,24/03/2023 00:00,Nanuq White,22/04/2025 00:00,17880.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,64000.0,64000.0,0.0,Margin Scheme Vehicles,S00301,REG00329,SUP00844,POST00482,02/05/2025 00:00,55000.0,Volkswagen,California,California 2.0 BiTDI Ocean 4dr Automatic Diesel ,Camper,10,EXEC00007,Customer00592,CHS01066,11/03/2022 00:00,Grey,22/04/2025 00:00,19457.0,0.0,0,0.0
Margin Scheme Vehicles,,91950.0,91950.0,0.0,Margin Scheme Vehicles,S00032,REG01040,SUP00661,POST00600,03/05/2025 00:00,85000.0,Mercedes-Benz,AMG GT,AMG GT 4.0 V8 BiTurbo R 2dr Automatic Petrol ,Coupe,135,EXEC00005,Customer00899,CHS00809,16/04/2019 00:00,Black,19/12/2024 00:00,17627.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,37990.0,37990.0,0.0,Margin Scheme Vehicles,S00195,REG00888,SUP00846,POST00082,03/05/2025 00:00,34250.0,Audi,S3,S3 2.0 TFSI Black Edition 5dr Automatic Petrol ,Hatchback,31,EXEC00002,Customer00109,CHS00567,27/10/2023 00:00,Grey,02/04/2025 00:00,14214.0,0.0,0,0.0
Margin Scheme Vehicles,,13150.0,13150.0,0.0,Trade Sale Vehicles,S00201,REG00790,SUP00768,POST00331,05/05/2025 00:00,12000.0,BMW,X4,X4 3.0 30d xLine 5dr Automatic Diesel ,SUV,32,EXEC00020,Customer00905,CHS00666,28/12/2017 00:00,Black Sapphire metallic paint,03/04/2025 00:00,53175.0,0.0,0,0.0
Margin Scheme Vehicles,,38722.02,38722.02,0.0,Margin Scheme Vehicles,S00108,REG00285,SUP00346,POST00307,06/05/2025 00:00,34500.0,Land Rover,Range Rover,Range Rover 3.0 D300 MHEV Westminster Black 5dr Automatic Diesel ,SUV,57,EXEC00009,Customer00403,CHS00192,29/12/2020 00:00,Grey,10/03/2025 00:00,51124.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,139000.0,139000.0,0.0,Margin Scheme Vehicles,S00157,REG00678,SUP00488,POST00367,06/05/2025 00:00,130000.0,Land Rover,Range Rover Sport,Range Rover Sport 4.4 P V8 MHEV SV Edition One Gloss 5dr Automatic Petrol ,SUV,41,EXEC00022,Customer00505,CHS00123,14/03/2024 00:00,Bronze,26/03/2025 00:00,8025.0,0.0,0,0.0
Margin Scheme Vehicles,,32250.0,32250.0,0.0,Margin Scheme Vehicles,S00184,REG00852,SUP00833,POST00825,06/05/2025 00:00,28500.0,BMW,Z4,Z4 2.0 20i M Sport 2dr Automatic Petrol ,Convertible,35,EXEC00004,Customer00796,CHS00649,28/04/2023 00:00,Black Sapphire metallic paint,01/04/2025 00:00,9457.0,0.0,0,0.0
Margin Scheme Vehicles,,42000.0,42000.0,0.0,Margin Scheme Vehicles,S00218,REG00391,SUP00330,POST00457,06/05/2025 00:00,35000.0,Mercedes-Benz,SL,SL 5.5 SL63 V8 AMG 2dr Automatic Petrol ,Convertible,29,EXEC00022,Customer00627,CHS00767,31/03/2017 00:00,Silver,07/04/2025 00:00,37526.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,131500.0,131500.0,0.0,Trade Sale Vehicles,S00253,REG00843,SUP00082,POST00452,06/05/2025 00:00,120000.0,Bentley,Continental,Continental 4.0 V8 GTC 2dr Automatic Petrol ,Convertible,22,EXEC00020,Customer00055,CHS00315,30/06/2022 00:00,Grey,14/04/2025 00:00,21245.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,41750.0,41750.0,0.0,Margin Scheme Vehicles,S00339,REG00861,SUP00387,POST00266,06/05/2025 00:00,37000.0,BMW,4 Series,4 Series 2.0 420i M Sport 2dr Automatic Petrol ,Convertible,11,EXEC00007,Customer00382,CHS00625,30/06/2024 00:00,Portimao Blue,25/04/2025 00:00,6601.0,0.0,0,0.0
Margin Scheme Vehicles,,15500.0,15500.0,0.0,Trade Sale Vehicles,S00119,REG00444,SUP00041,POST00331,07/05/2025 00:00,14000.0,Volvo,XC90,XC90 2.0 D5 PowerPulse R-Design 5dr Automatic Diesel ,SUV,54,EXEC00020,Customer00905,CHS01111,02/02/2017 00:00,Savile Grey,14/03/2025 00:00,125000.0,0.0,0,0.0
Margin Scheme Vehicles,,34000.0,34195.0,0.0,Margin Scheme Vehicles,S00209,REG00484,SUP00833,POST00796,07/05/2025 00:00,30000.0,Jaguar,F-Type,F-Type 3.0 V6 R-Dynamic 2dr Automatic Petrol ,Convertible,32,EXEC00001,Customer00100,CHS00116,24/04/2019 00:00,Blue,05/04/2025 00:00,20194.0,195.0,0,0.0
Margin Scheme Vehicles,,18500.0,18500.0,0.0,Trade Sale Vehicles,S00302,REG00408,SUP00273,POST00909,07/05/2025 00:00,18000.0,Porsche,Macan,Macan 3.0 TD V6 S 5dr Automatic Diesel ,SUV,15,EXEC00020,Customer00946,CHS00955,01/03/2016 00:00,Beige,22/04/2025 00:00,64696.0,0.0,0,0.0
Margin Scheme Vehicles,,12400.0,12400.0,0.0,Trade Sale Vehicles,S00341,REG00526,SUP00787,POST00909,07/05/2025 00:00,12000.0,Tesla,Model 3,Model 3 0.0 Standard Range Plus 4dr Automatic Electric ,Saloon,11,EXEC00020,Customer00946,CHS00080,03/09/2021 00:00,White,26/04/2025 00:00,71000.0,0.0,0,0.0
VAT Qualifying Vehicles,PUR00007,47495.83,47495.83,9499.17,VAT Qualifying Vehicles,S00402,REG00046,SUP00037,POST00633,07/05/2025 00:00,45204.17,Volkswagen,Touareg,Touareg 3.0 V6 TSI eHybrid R 5dr Automatic Petrol Plug-in Hybrid ,SUV,0,EXEC00016,Customer00035,CHS01073,09/06/2023 00:00,Blue,07/05/2025 00:00,14803.0,0.0,0,0.0
VAT Qualifying Vehicles,PUR00015,7500.0,7500.0,1500.0,Qualifying Trade Sale Vehicles,S00408,REG00643,SUP00062,POST00909,07/05/2025 00:00,7750.0,Ford,Ranger,Ranger 2.2 TDCi Limited 1 4dr Automatic Diesel ,Pickup,0,EXEC00020,Customer00946,CHS00024,03/03/2016 00:00,Grey,07/05/2025 00:00,101000.0,0.0,0,0.0
Margin Scheme Vehicles,,94950.0,94950.0,0.0,Margin Scheme Vehicles,S00034,REG00778,SUP00903,POST00501,08/05/2025 00:00,92000.0,Audi,RS6 Avant,RS6 Avant 4.0 TFSI V8 Performance Carbon Vorsprung 5dr Automatic Petrol ,Estate,126,EXEC00016,Customer00344,CHS01014,05/06/2023 00:00,Black,02/01/2025 00:00,16240.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,50000.0,50000.0,0.0,Margin Scheme Vehicles,S00037,REG00344,SUP00088,POST00417,08/05/2025 00:00,49000.0,Audi,Q8 e-tron,Q8 e-tron 0.0 Vorsprung 5dr Automatic Electric ,SUV,120,EXEC00005,Customer00828,CHS00561,08/09/2023 00:00,Red,08/01/2025 00:00,15500.0,0.0,0,0.0
VAT Qualifying Vehicles,PUR00017,30833.33,30833.33,6166.67,VAT Qualifying Vehicles,S00043,REG00419,SUP00087,POST00417,08/05/2025 00:00,30416.67,Ford,Mustang,Mustang 5.0 V8 GT 2dr Automatic Petrol ,Coupe,107,EXEC00005,Customer00828,CHS00008,06/11/2021 00:00,Race Red (Standard Paint),21/01/2025 00:00,8847.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,7500.0,7500.0,0.0,Trade Sale Vehicles,S00046,REG01000,SUP00905,POST00495,08/05/2025 00:00,7380.0,Peugeot,3008,3008 1.2 PureTech GT Line 5dr Manual Petrol ,SUV,104,EXEC00019,Customer00060,CHS00372,30/04/2019 00:00,Blue,24/01/2025 00:00,56000.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,800.0,800.0,0.0,Trade Sale Vehicles,S00047,REG00496,SUP00905,POST00852,08/05/2025 00:00,680.0,Ford,Fiesta,Fiesta 1.4 TDCi Style 5dr Manual Diesel ,Hatchback,104,EXEC00020,Customer00061,CHS00784,24/09/2009 00:00,Silver,24/01/2025 00:00,71000.0,0.0,0,0.0
Margin Scheme Vehicles,,157750.0,157750.0,0.0,Margin Scheme Vehicles,S00069,REG00581,SUP00648,POST00228,08/05/2025 00:00,150000.0,McLaren,720S,720S 4.0 2dr Automatic Petrol ,Convertible,79,EXEC00012,Customer00459,CHS00285,01/08/2019 00:00,Orange,18/02/2025 00:00,8265.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,90500.0,90500.0,0.0,Margin Scheme Vehicles,S00114,REG01165,SUP00072,POST00556,08/05/2025 00:00,83500.0,Mercedes-Benz,G Class,G Class 2.9 G400d AMG Line 5dr Automatic Diesel ,SUV,58,EXEC00005,Customer00098,CHS00473,02/09/2021 00:00,Black,11/03/2025 00:00,65088.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,38990.0,38990.0,0.0,Margin Scheme Vehicles,S00193,REG00619,SUP00042,POST00875,08/05/2025 00:00,33014.0,BMW,M3,M3 3.0 BiTurbo 30 Jahre Edition 4dr Automatic Petrol ,Saloon,36,EXEC00009,Customer00768,CHS00712,29/11/2016 00:00,SILVER - LIGHT METALLIC,02/04/2025 00:00,24410.0,0.0,0,0.0
Margin Scheme Vehicles,,33850.0,33850.0,0.0,Margin Scheme Vehicles,S00196,REG00468,SUP00513,POST00575,08/05/2025 00:00,30000.0,Mercedes-Benz,EQC,EQC 0.0 EQC 400 AMG Line 5dr Automatic Electric ,SUV,36,EXEC00009,Customer00408,CHS00447,09/01/2023 00:00,Grey,02/04/2025 00:00,15549.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,33950.0,33950.0,0.0,Margin Scheme Vehicles,S00205,REG00277,SUP00698,POST00518,08/05/2025 00:00,31000.0,Audi,S3,S3 2.0 TFSI 5dr Automatic Petrol ,Hatchback,34,EXEC00005,Customer00846,CHS00562,20/07/2023 00:00,Blue,04/04/2025 00:00,14281.0,0.0,0,0.0
Margin Scheme Vehicles,,15750.0,15750.0,0.0,Margin Scheme Vehicles,S00327,REG00982,SUP00332,POST00366,08/05/2025 00:00,12000.0,Mazda,MX-5,MX-5 2.0 SKYACTIV-G Sport Nav 2dr Manual Petrol ,Convertible,14,EXEC00012,Customer00631,CHS00049,06/03/2018 00:00,Red,24/04/2025 00:00,18659.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,50000.0,50000.0,0.0,Margin Scheme Vehicles,S00353,REG01050,SUP00050,POST00340,08/05/2025 00:00,45750.0,Porsche,718 Cayman,718 Cayman 2.0 T 2dr Automatic Petrol ,Coupe,9,EXEC00016,Customer00212,CHS00846,19/04/2022 00:00,Blue,29/04/2025 00:00,6345.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,49990.0,49990.0,0.0,Margin Scheme Vehicles,S00392,REG01125,SUP00282,POST00413,08/05/2025 00:00,48000.0,Toyota,Yaris,Yaris 1.6 T GR 3dr Manual Petrol ,Hatchback,2,EXEC00007,Customer00140,CHS00056,07/03/2025 00:00,Grey,06/05/2025 00:00,1288.0,0.0,0,0.0
VAT Qualifying Vehicles,PUR00015,21245.83,21245.83,4249.17,VAT Qualifying Vehicles,S00049,REG00050,SUP00875,POST00444,09/05/2025 00:00,19583.33,Mercedes-Benz,EQC,EQC 0.0 EQC 400 AMG Line 5dr Automatic Electric ,SUV,100,EXEC00025,Customer00090,CHS00422,21/01/2022 00:00,Black,29/01/2025 00:00,51881.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00010,19950.0,19950.0,0.0,Margin Scheme Vehicles,S00063,REG01025,SUP00894,POST00320,09/05/2025 00:00,14162.19,Mercedes-Benz,C Class,C Class 1.5 AMG Line 2dr G-Tronic+ Petrol ,Coupe,87,EXEC00008,Customer00533,CHS00403,31/01/2020 00:00,Black,11/02/2025 00:00,41300.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,66250.0,66250.0,0.0,Trade Sale Vehicles,S00095,REG00474,SUP00315,POST00130,09/05/2025 00:00,63245.0,Mercedes-Benz,C Class,C Class 4.0 C63 V8 BiTurbo AMG S Night Edition Prem Plus 2dr Automatic Petrol ,Coupe,70,EXEC00016,Customer00886,CHS00460,20/12/2023 00:00,Black,28/02/2025 00:00,7501.0,0.0,0,0.0
Margin Scheme Vehicles,,73990.0,73990.0,0.0,Margin Scheme Vehicles,S00216,REG00908,SUP00686,POST00537,09/05/2025 00:00,63000.0,Land Rover,Range Rover,Range Rover 3.0 P440e SE 5dr Automatic Petrol Plug-in Hybrid ,SUV,32,EXEC00017,Customer00911,CHS00199,05/10/2022 00:00,Grey,07/04/2025 00:00,49685.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,86000.0,86000.0,0.0,Margin Scheme Vehicles,S00247,REG00022,SUP00629,POST00610,09/05/2025 00:00,82500.0,Porsche,718 Cayman,718 Cayman 4.0 GT4 2dr Automatic Petrol ,Coupe,29,EXEC00005,Customer00371,CHS00819,21/06/2023 00:00,Grey,10/04/2025 00:00,4433.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00010,83209.75,83209.75,0.0,Margin Scheme Vehicles,S00248,REG00380,SUP00684,POST00628,09/05/2025 00:00,75250.0,Mercedes-Benz,AMG GT,AMG GT 4.0 V8 BiTurbo R 2dr Automatic Petrol ,Coupe,29,EXEC00012,Customer00141,CHS00806,28/04/2018 00:00,Grey,10/04/2025 00:00,30143.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,56450.0,56450.0,0.0,Margin Scheme Vehicles,S00266,REG00586,SUP00196,POST00268,09/05/2025 00:00,52350.0,Jaguar,F-Type,F-Type 5.0 V8 75 2dr Automatic Petrol ,Coupe,24,EXEC00009,Customer00145,CHS00105,13/10/2023 00:00,Green,15/04/2025 00:00,7448.0,0.0,0,0.0
Margin Scheme Vehicles,,20750.0,20750.0,0.0,Trade Sale Vehicles,S00272,REG00218,SUP00766,POST00909,09/05/2025 00:00,21750.0,BMW,X5,X5 3.0 30d M Sport 5dr Automatic Diesel ,SUV,24,EXEC00020,Customer00946,CHS00658,18/09/2018 00:00,Black Sapphire metallic paint,15/04/2025 00:00,59235.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,25990.0,25990.0,0.0,Margin Scheme Vehicles,S00289,REG00042,SUP00420,POST00127,09/05/2025 00:00,22500.0,Audi,S3,S3 2.0 TFSI Black Edition 5dr Automatic Petrol ,Hatchback,17,EXEC00008,Customer00416,CHS00520,19/06/2019 00:00,Black,22/04/2025 00:00,35704.0,0.0,0,0.0
Margin Scheme Vehicles,,14750.0,14750.0,0.0,Trade Sale Vehicles,S00335,REG00569,SUP00122,POST00909,09/05/2025 00:00,14750.0,Audi,S3,S3 2.0 TFSI 5dr Automatic Petrol ,Hatchback,14,EXEC00020,Customer00946,CHS00519,21/10/2016 00:00,Black,25/04/2025 00:00,38416.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,79795.0,79795.0,0.0,Margin Scheme Vehicles,S00347,REG00271,SUP00050,POST00095,09/05/2025 00:00,74000.0,Porsche,Macan,Macan 2.9 T V6 GTS 5dr Automatic Petrol ,SUV,11,EXEC00016,Customer00420,CHS00952,05/03/2024 00:00,Red,28/04/2025 00:00,8631.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,49750.0,49750.0,0.0,Margin Scheme Vehicles,S00350,REG00464,SUP00561,POST00405,09/05/2025 00:00,45500.0,Jaguar,F-Type,F-Type 5.0 V8 R-Dynamic Black 2dr Automatic Petrol ,Convertible,10,EXEC00007,Customer00757,CHS00101,23/06/2022 00:00,Grey,29/04/2025 00:00,18710.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,15010.0,15010.0,0.0,Trade Sale Vehicles,S00430,REG01004,SUP00007,POST00909,09/05/2025 00:00,15010.0,Volvo,XC90,XC90 2.0 D5 PowerPulse R-Design 5dr Automatic Diesel ,SUV,0,EXEC00020,Customer00946,CHS01112,29/03/2018 00:00,Osmium Grey,09/05/2025 00:00,,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,28740.0,28740.0,0.0,Trade Sale Vehicles,S00431,REG01169,SUP00007,POST00909,09/05/2025 00:00,27792.6,Land Rover,Discovery,Discovery 3.0 SD V6 SE 5dr Automatic Diesel ,SUV,0,EXEC00020,Customer00946,CHS00224,11/12/2018 00:00,Black,09/05/2025 00:00,,0.0,0,0.0
Margin Scheme Vehicles,,5650.0,5650.0,0.0,Trade Sale Vehicles,S00283,REG00317,SUP00407,POST00331,10/05/2025 00:00,4000.0,Land Rover,Discovery 4,Discovery 4 3.0 TD V6 HSE 5dr Automatic Diesel ,SUV,23,EXEC00020,Customer00905,CHS00220,23/03/2010 00:00,Gold,17/04/2025 00:00,119000.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,17500.0,17500.0,0.0,Trade Sale Vehicles,S00003,REG01065,SUP00043,POST00909,12/05/2025 00:00,17500.0,BMW,1 Series,1 Series 2.0 120d M Sport Shadow Edition 5dr Automatic Diesel ,Hatchback,648,EXEC00020,Customer00946,CHS00580,19/12/2018 00:00,Mineral Grey,03/08/2023 00:00,31782.0,0.0,0,773.97
Margin Scheme Vehicles,PUR00007,107950.0,107950.0,0.0,Margin Scheme Vehicles,S00015,REG00071,SUP00254,POST00844,12/05/2025 00:00,100500.0,Bentley,Continental,Continental 6.0 W12 GTC 2dr Automatic Petrol ,Convertible,213,EXEC00017,Customer00661,CHS00311,12/07/2019 00:00,Grey,11/10/2024 00:00,26763.0,0.0,0,1144.52
Margin Scheme Vehicles,,107000.0,107000.0,0.0,Margin Scheme Vehicles,S00052,REG01058,SUP00214,POST00093,12/05/2025 00:00,100000.0,Audi,R8,R8 5.2 FSI V10 Performance Carbon Black 2dr Automatic Petrol ,Coupe,98,EXEC00006,Customer00500,CHS01054,09/01/2021 00:00,Blue,03/02/2025 00:00,14258.0,0.0,0,0.0
